Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u/16V","C_0805_2012Metric",148.935000,-94.505000,0.000000,top
"C3","1u/16V","C_0603_1608Metric",152.665000,-94.255000,0.000000,top
"C4","10u/16V","C_0805_2012Metric",145.425000,-97.014999,0.000000,top
"C5","100n","C_0603_1608Metric",138.205000,-85.255000,0.000000,top
"C6","100n","C_0603_1608Metric",138.205000,-87.265000,0.000000,top
"C7","1u/16V","C_0603_1608Metric",149.154999,-96.764999,0.000000,top
"FB1","600R@100MHz","R_0603_1608Metric",145.204999,-94.255000,0.000000,top
"H1","","",137.700000,-77.500000,0.000000,top
"H2","","",153.700000,-77.500000,0.000000,top
"MK1","IM73A135V01","Infineon_PG-LLGA-5-1",145.700000,-80.000000,0.000000,top
"R1","100R","R_0603_1608Metric",152.205000,-85.255000,0.000000,top
"R2","100R","R_0603_1608Metric",152.205000,-87.265000,0.000000,top
"R3","47k","R_0603_1608Metric",152.205000,-89.275000,0.000000,top
"U1","LP5907MFX-2.8","SOT-23-5",140.200000,-96.000000,0.000000,top
"U2","OPA2325","SOIC-8_3.9x4.9mm_P1.27mm",145.700000,-88.500000,0.000000,top
